y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
853.84,0.85,0.516632622,1.599852274,2.48E+00,-0.57,-0.395461233,19.96580222,23.13327854
860.6,0.85,0.51466105,1.591942232,2.46E+00,-0.57,-0.392765643,19.97773874,23.14157082
867.39,0.85,0.51269898,1.584070197,2.45E+00,-0.56,-0.390070528,19.98958797,23.1498631
874.19,0.84,0.51074166,1.576240918,2.43E+00,-0.56,-0.387374938,20.00134992,23.15815538
881.01,0.84,0.508793842,1.568449646,2.42E+00,-0.56,-0.384679348,20.01298093,23.16622945
887.85,0.83,0.506855525,1.56070113,2.40E+00,-0.55,-0.381983757,20.02454648,23.17430351
894.71,0.83,0.50492671,1.552990621,2.38E+00,-0.55,-0.379288167,20.03600292,23.18237757
901.59,0.83,0.503007397,1.54532762,2.37E+00,-0.55,-0.376592102,20.04737207,23.19023341
908.49,0.82,0.501092834,1.537702624,2.35E+00,-0.54,-0.373896036,20.05865394,23.19808926
915.4,0.82,0.499192524,1.530120386,2.34E+00,-0.54,-0.371200446,20.06982669,23.20572688
922.34,0.81,0.497296964,1.522580905,2.32E+00,-0.54,-0.368503906,20.08091216,23.21358273
929.29,0.81,0.495410906,1.515084181,2.31E+00,-0.53,-0.365807841,20.09191034,23.22100214
936.26,0.81,0.493539101,1.507630213,2.29E+00,-0.53,-0.3631113,20.10282124,23.22863976
943.25,0.8,0.491672046,1.500223754,2.28E+00,-0.52,-0.360415235,20.11362302,23.23605917
950.25,0.8,0.489814492,1.4928553,2.26E+00,-0.52,-0.357718695,20.12433752,23.24347858
957.28,0.79,0.487971191,1.485534355,2.24E+00,-0.52,-0.355022154,20.13496473,23.25089799
964.32,0.79,0.486132641,1.478256166,2.23E+00,-0.51,-0.352325139,20.14548283,23.25809918
971.38,0.79,0.484303592,1.471020734,2.21E+00,-0.51,-0.349628123,20.15593547,23.26530037
978.46,0.78,0.482488796,1.46382806,2.20E+00,-0.51,-0.346931108,20.166279,23.27250156
985.55,0.78,0.480683501,1.456682893,2.18E+00,-0.5,-0.344234092,20.17653524,23.27970275
992.66,0.77,0.478882957,1.449585234,2.17E+00,-0.5,-0.341536602,20.18670419,23.28668572
999.79,0.77,0.477096665,1.442530332,2.15E+00,-0.5,-0.338839586,20.19678586,23.29366869
1006.94,0.77,0.475324626,1.435522937,2.14E+00,-0.49,-0.336142096,20.20678024,23.30043345
1014.1,0.76,0.473558287,1.4285583,2.12E+00,-0.49,-0.333444605,20.21668733,23.3071982
1021.28,0.76,0.471803826,1.42164117,2.11E+00,-0.49,-0.330747115,20.22650714,23.31396296
1028.47,0.75,0.470060291,1.414771548,2.09E+00,-0.48,-0.328049149,20.23621783,23.32072771
1035.68,0.75,0.468327683,1.407949434,2.08E+00,-0.48,-0.325351184,20.24586306,23.32727425
1042.91,0.75,0.466606002,1.401170077,2.06E+00,-0.48,-0.322653218,20.25542101,23.33382079
1050.16,0.74,0.464895723,1.394442978,2.05E+00,-0.47,-0.319955252,20.26486984,23.34036732
1057.42,0.74,0.46319637,1.387758637,2.03E+00,-0.47,-0.317257287,20.27425321,23.34669564
1064.7,0.73,0.46150842,1.381126554,2.02E+00,-0.46,-0.314559321,20.28352747,23.35302396
1071.99,0.73,0.459832346,1.374541978,2.00E+00,-0.46,-0.31186088,20.29273627,23.35935228
1079.3,0.73,0.458167674,1.368004911,1.99E+00,-0.46,-0.309162915,20.30185777,23.3656806
